"","1215","1272","1353","15","1558","1603","188","197","200","203","28","310","339","348","382","394","399","601","635","638","665","71","720","762","90","908","913","931","932","936","938","945","946","954","966","971","985","986","987","993","995","1243","1259","1270","1291","1306","1307","1310","1331","137","151","1525","194","202","305","324","57","76","767","94"
"Label","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"P61626","1.612617459","1.757266836","0.458802575","1.311987336","2.238546485","1.646143874","0.460522008","1.026528456","1.431875097","0.532073279","1.445632892","1.96368178","0.574113392","2.231388838","2.76379449","6.126207579","1.432425649","1.65775145","7.323364983","3.194741558","4.83748372","1.80926605","2.102363432","8.211665906","0.553848912","0.013958432","0.006557498","0.005646421","0.023650528","0.028540495","0.010794369","0.007510358","0.016310187","0.01964528","0.024496785","0.020379286","0.01798402","0.025647128","0.010326034","0.0394101","0.014795934","0.177647597","1.179336649","0.412130666","2.014637798","3.797829107","1.113967618","0.89573634","0.434671697","0.810287541","0.404207025","3.1229821","0.430420355","0.871304081","0.693862625","3.072524507","1.377910709","1.817305418","2.262725217","1.092218786"
"P01591","1.220158146","1.199192725","0.735906919","0.219446532","0.808919817","0.507738013","0.401199012","0.751616349","0.369701331","0.358605899","0.275208959","0.393658103","0.183401197","1.582774145","1.104846404","1.038565881","1.321963374","1.285451963","1.600461611","1.471748983","1.436287342","1.533994103","1.658532891","0.025127018","0.418242772","0.003072609","0.002980344","0.006323873","0.003791729","0.004885931","0.005399962","0.002938905","0.005449943","0.003881878","0.004650384","0.003622289","0.00321771","0.007188756","0.005336616","0.004016287","0.006126355","1.230775451","0.816451017","1.150978807","1.305032136","1.609269049","0.666558367","1.021343198","1.104989589","0.288627087","0.261815277","0.694885761","0.440411118","0.677226129","1.870424418","0.473365085","0.511143921","0.35665991","1.044022109","0.543499226"
"P10451","1.475232899","1.532048643","1.041156621","0.193288491","0.828504713","0.980063955","0.443303515","0.41921631","0.470308579","0.337246362","0.302167498","1.301253206","0.487878693","1.006088076","1.430112585","0.954952414","1.094123364","1.015559768","0.737700987","1.593953688","1.722011679","0.569619283","1.454793538","0.873862541","0.303358365","0.003925028","0.009243139","0.005168237","0.006698629","0.00398525","0.004363793","0.005389997","0.003184006","0.003334178","0.004868673","0.005643807","0.00521623","0.008286482","0.005303497","0.003599603","0.010747186","0.838140576","1.674722187","1.207836299","1.132621949","1.180016015","1.543607149","2.922634382","0.985797196","0.462743856","0.21053266","2.320482469","0.482475644","0.545773026","0.785100715","1.032775513","0.338102386","0.28443175","1.58655083","0.368321918"
"P02647","0.138892874","0.160725947","0.126964374","0.207475484","0.07938953","0.174189596","0.429962381","0.275350389","0.665942676","0.131927436","0.05830058","0.46237341","0.37476252","0.594250636","0.654388966","0.300445214","0.51953445","0.43566734","0.335121272","0.315453114","0.696064308","0.041480822","0.366602461","0.521455383","0.33499825","0.002325731","0.003175441","0.002507846","0.001379731","0.002412876","0.001943753","0.002489288","0.001197054","0.001118566","0.002634376","0.002387312","0.002339178","0.001835502","0.00187957","0.001079403","0.001318527","0.054486172","0.343941602","0.114313483","0.139870473","0.21018689","0.185809889","0.152843714","0.152259286","0.154953603","0.141515992","0.295620062","0.237591595","0.293627829","0.163132311","0.549922685","0.10860164","0.174619998","0.271834295","0.185742643"
"S4R371","0.018368714","0.047115043","0.020596529","0.000656551","0.046310854","0.265635534","0.006168313","0.020687985","0.008280029","0.00976951","0.00064674","0.088008729","0.018847257","0.378740285","0.927598818","0.248289753","0.057763441","0.096211207","0.065585063","0.016187475","0.096463836","0.017048039","0.276943995","8.2e-06","0.008925392","4.1e-05","0.00018991","0.000494706","0.000640462","0.000256007","0.000353258","0.000114739","0.000188559","6.2e-05","0.000184848","0.000213944","0.000540498","0.000337707","0.000169312","0.000709444","0.000131013","0.018470696","0.085489723","0.033579472","0.028027876","0.024120314","0.032277243","0.072012006","0.028120234","0.001820843","0.002781746","0.102106389","0.021225357","0.0148561","0.048653343","0.007315397","0.008561941","0.016308844","0.586438508","0.012124034"
"Q13410","0.137131686","0.202971306","0.268137167","0.119741437","0.189089691","0.396250733","0.099863768","0.065943113","0.083271423","0.052152119","0.084590057","0.220966161","0.076327338","0.180467318","0.581097901","0.361182547","0.300494405","0.226881132","0.179253545","0.143757807","0.189595061","0.199440951","0.195128884","0.141144738","0.138973073","0.002020213","0.001528109","0.001540019","0.002777825","0.002235191","0.001863381","0.001680257","0.001521044","0.001518606","0.003051735","0.001562658","0.001746995","0.001320716","0.001293682","0.001960759","0.000852203","0.106883487","0.195171822","0.193995585","0.15451141","0.182639811","0.138174115","0.287184721","0.236674759","0.074820078","0.081379078","0.388940284","0.149881517","0.101571259","0.315960904","0.278596382","0.109580955","0.123758399","0.348552525","0.078725771"
"P01859","0.055066873","0.040222915","0.048619998","0.041295786","0.020898215","0.030496228","8.76e-06","0.001915619","0.062948713","0.035823789","0.044745176","0.064032473","0.055651338","0.172821565","0.156512491","0.09710401","0.055465018","0.151163851","8.76e-06","0.039900496","0.071256496","0.054069853","0.056177831","0.003478172","0.035884078","0.000206318","0.000311789","4.38e-05","0.000968597","0.000305799","0.000629366","0.00051331","0.000324709","0.000165561","0.000592152","0.00071149","0.000570963","0.000343805","0.000445321","0.000212202","0.000767473","0.044699388","0.073385205","0.038994536","0.052129319","0.032204102","0.080141439","0.201997605","0.021067725","0.040581256","0.034217094","0.047774508","0.033394328","0.062029828","0.022864422","0.010144171","0.07329758","0.032123194","0.097695148","0.042047073"
"P01034","0.169728538","0.147661032","0.155431076","0.127348686","0.049821287","0.090370527","0.171208318","0.111904239","0.104284821","0.185773147","0.06274176","0.270469377","0.059278331","0.13762355","0.306373513","0.255583016","0.606575021","0.226061873","0.077684499","0.265722522","0.403924856","0.128431285","0.572846678","0.124249488","0.304328971","0.001354696","0.001536714","0.001130676","0.001158307","0.001459149","0.001027448","0.000872337","0.002103372","0.000652169","0.002524128","0.001362949","0.001409417","0.001030131","0.001625464","0.000555871","0.001340218","0.076873747","0.106183202","0.192893801","0.098276902","0.124038271","0.100453845","0.098163899","0.129675464","0.133615557","0.213857476","0.059990618","0.065000149","0.177290779","0.483082594","0.387300459","0.173143852","0.048503393","0.27479135","0.024893986"
