"","1809","1822","1826","1832","1843","1863","1907","1927","1985","2434","1816","1830","1866","1928","1969","1988","2584","2605","2473","2462","1807","1812","1869","2002","2453","2553","2508","2483","2443","2433"
"Label","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3"
"P05814","-0.01305151","-0.01305151","-0.01305151","-0.01305151","-0.01305151","-0.01305151","-0.01305151","-0.01305151","-0.01305151"," 0.29661262","-0.01305151","-0.01305151","-0.01305151","-0.01305151","-0.01305151","-0.01305151","-0.01305151","-0.01305151"," 0.29661262","-0.47949104","-0.01305151","-0.01305151","-0.01305151","-0.01305151","-0.01305151"," 0.29661262","-0.01305151"," 0.29661262"," 0.29661262","-0.70338738"
"P00709"," 0.1666667"," 0.1666667"," 0.1666667"," 0.1666667"," 0.1666667"," 0.1666667"," 0.1666667"," 0.1666667"," 0.1666667","-0.8333333"," 0.1666667"," 0.1666667"," 0.1666667"," 0.1666667"," 0.1666667"," 0.1666667"," 0.1666667"," 0.1666667","-0.8333333"," 0.1666667"," 0.1666667"," 0.1666667"," 0.1666667"," 0.1666667"," 0.1666667","-0.8333333"," 0.1666667","-0.8333333","-0.8333333"," 0.1666667"
"P47710"," 0.04724782","-0.14913247"," 0.04724782"," 0.04724782"," 0.04724782"," 0.04724782","-0.14913247"," 0.04724782","-0.23488293","-0.14913247","-0.14913247"," 0.04724782"," 0.04724782"," 0.04724782"," 0.04724782","-0.14913247","-0.23488293"," 0.04724782"," 0.04724782"," 0.76511707"," 0.04724782"," 0.04724782"," 0.04724782","-0.14913247"," 0.04724782"," 0.04724782"," 0.04724782"," 0.04724782","-0.14913247","-0.14913247"
"P02788","-0.01144896"," 0.30879796","-0.01144896"," 0.08588648"," 0.08588648"," 0.08588648","-0.01144896"," 0.08588648"," 0.30879796","-0.01144896","-0.01144896"," 0.08588648"," 0.08588648"," 0.08588648","-0.01144896","-0.01144896","-0.69120204","-0.69120204","-0.01144896","-0.01144896"," 0.08588648"," 0.08588648"," 0.08588648"," 0.30879796","-0.01144896","-0.01144896","-0.41225298","-0.01144896"," 0.30879796","-0.16201208"
"P01834","-0.07751415","-0.07751415","-0.07751415","-0.07751415","-0.07751415","-0.23042902","-0.23042902","-0.07751415","-0.07751415","-0.07751415","-0.07751415","-0.23042902","-0.23042902","-0.42256950","-0.33088902","-0.07751415"," 0.57743050"," 0.28654397"," 0.37495565"," 0.57743050","-0.07751415","-0.07751415","-0.07751415","-0.07751415"," 0.37495565","-0.07751415","-0.23042902"," 0.14978455"," 0.14978455"," 0.57743050"
"P02768"," 0.01721876"," 0.01721876"," 0.01721876"," 0.10760543"," 0.10760543"," 0.10760543"," 0.01721876"," 0.10760543"," 0.01721876"," 0.01721876"," 0.01721876"," 0.01721876"," 0.01721876"," 0.10760543"," 0.16603824"," 0.29985737","-0.23407097"," 0.01721876"," 0.01721876","-0.42599174"," 0.01721876"," 0.10760543"," 0.01721876"," 0.01721876"," 0.01721876"," 0.01721876","-0.30046672"," 0.16603824"," 0.10760543","-0.70014263"
"P07498"," 0.20096530"," 0.15337080"," 0.20096530"," 0.07974934"," 0.07974934"," 0.07974934"," 0.30996324"," 0.07974934"," 0.20096530"," 0.30996324"," 0.30996324"," 0.15337080"," 0.15337080"," 0.07974934"," 0.07974934"," 0.07974934","-0.64570493","-0.41494950","-0.12493037","-0.41494950"," 0.15337080"," 0.07974934"," 0.15337080"," 0.15337080","-0.63492233"," 0.20096530","-0.28125307","-0.04261198","-0.04261198","-0.69003676"
"P10451","-0.07210103","-0.04878794","-0.07210103","-0.03323689"," 0.09512267","-0.07210103","-0.04878794","-0.09026120","-0.11789860"," 0.01356350","-0.04878794","-0.03323689","-0.07210103","-0.07210103","-0.01178842","-0.07210103","-0.16812599"," 0.01356350"," 0.09512267","-0.18235603","-0.07210103","-0.07210103"," 0.01356350","-0.11789860"," 0.13318903"," 0.05433069"," 0.01356350"," 0.09512267"," 0.13318903"," 0.81764397"
