"","1210","1243","1259","1260","1270","129","1291","1306","1307","1310","1312","1331","1345","137","151","1525","1696","185","194","202","305","323","324","327","346","350","355","357","359","57","667","699","759","76","767","924","94","979","119","1247","1277","1304","1325","1326","1335","1336","147","1503","1559","1594","1640","1643","1657","187","19","312","341","343","348","389","717","719","729","736","901","909","921","943","965","966","983","987","989","990","994","998","1215","1272","1353","15","1558","1603","188","197","200","203","28","310","339","382","394","399","601","635","638","665","71","720","762","90","908","913","931","932","936","938","945","946","954","971","985","986","993","995"
"Label","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"P61626"," 0.06939777","-0.63205236"," 0.06939777"," 0.06939777"," 0.06939777","-0.50597156"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777","-0.50597156"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777","-0.50597156"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777","-0.93060223","-0.50597156","-0.63205236","-0.63205236","-0.50597156"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777","-0.50597156"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777","-0.71001185"," 0.06939777","-0.50597156"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"," 0.06939777"
"S4R371","-0.094421851","-0.193417798"," 0.123068626","-0.031188092","-0.031188092","-0.166824604","-0.131134142","-0.086892138","-0.049249973"," 0.037253153","-0.144848497","-0.040699851","-0.031188092","-0.339267243","-0.247014555"," 0.140723016","-0.069247155","-0.171181068"," 0.017014728","-0.106866912","-0.003717894"," 0.218244571","-0.348058142"," 0.026654874"," 0.348710767"," 0.253521643"," 0.061921724"," 0.348710767"," 0.190636866","-0.144848497"," 0.140723016"," 0.625169681"," 0.218244571","-0.040699851"," 0.625169681","-0.023366467","-0.144848497"," 0.049827741","-0.094421851","-0.159106835","-0.100836300"," 0.007078448","-0.069247155","-0.069247155","-0.062647639"," 0.049827741","-0.106866912"," 0.140723016"," 0.061921724"," 0.026654874","-0.023366467","-0.049249973","-0.100836300","-0.049249973","-0.202075549"," 0.075585649","-0.249309459","-0.225900895"," 0.625169681"," 0.075585649"," 0.300520897","-0.023366467"," 0.026654874"," 0.140723016","-0.003717894"," 0.007078448","-0.100836300","-0.012559386","-0.154041932","-0.113346680"," 0.026654874","-0.031188092","-0.253177849","-0.040699851","-0.223371679"," 0.190636866","-0.154041932"," 0.037253153","-0.119898799","-0.287590593"," 0.075585649"," 0.625169681","-0.178851770","-0.031188092","-0.166824604","-0.113346680","-0.295062456"," 0.190636866"," 0.017014728"," 0.625169681"," 0.348710767"," 0.049827741"," 0.101987955"," 0.049827741","-0.171181068"," 0.075585649","-0.125570570"," 0.454339884","-0.374830319","-0.163316891","-0.242542795","-0.232456040"," 0.140723016"," 0.101987955","-0.023366467","-0.040699851","-0.140836932","-0.062647639","-0.125570570","-0.062647639"," 0.140723016"," 0.017014728"," 0.101987955","-0.062647639"
"P01859","-0.239918173","-0.065844343"," 0.104740213"," 0.063226224","-0.004785224"," 0.170783547"," 0.006401234","-0.043103490"," 0.104740213"," 0.469824066"," 0.026685038","-0.090964895"," 0.196592373"," 0.063226224"," 0.050695236","-0.013946195"," 0.126582615"," 0.310446967"," 0.091015093"," 0.091015093","-0.125164223"," 0.063226224","-0.332695168","-0.250022633"," 0.063226224","-0.335427064"," 0.104740213","-0.013946195"," 0.037666276"," 0.196592373"," 0.170783547","-0.486245366","-0.072682326"," 0.126582615","-0.013946195","-0.146858937"," 0.037666276"," 0.026685038"," 0.050695236"," 0.016696553","-0.146858937"," 0.037666276"," 0.063226224","-0.004785224","-0.080931161","-0.285424086","-0.360552158","-0.072682326","-0.013946195"," 0.037666276","-0.530175934","-0.072682326","-0.151015456","-0.043103490","-0.244112413","-0.160541087"," 0.104740213"," 0.196592373"," 0.469824066","-0.059489160","-0.417090486"," 0.091015093","-0.332695168"," 0.063226224","-0.216973505"," 0.360378134","-0.033248033"," 0.170783547","-0.178299531"," 0.170783547","-0.065844343"," 0.225197658"," 0.310446967","-0.059489160"," 0.063226224"," 0.050695236"," 0.063226224","-0.025143780"," 0.050695236"," 0.225197658","-0.111661440","-0.004785224","-0.394295551","-0.329961938"," 0.170783547"," 0.077383883"," 0.126582615"," 0.077383883"," 0.196592373"," 0.196592373"," 0.196592373"," 0.026685038"," 0.170783547","-0.396015932","-0.051962564"," 0.037666276"," 0.063226224"," 0.016696553","-0.259251022"," 0.050695236","-0.059489160","-0.170151189","-0.275867573"," 0.196592373"," 0.006401234"," 0.104740213"," 0.126582615"," 0.026685038"," 0.050695236"," 0.126582615"," 0.196592373"," 0.026685038","-0.146858937"," 0.196592373"
"P01034"," 0.01748734","-0.38366105","-0.15761897"," 0.38853903"," 0.38853903","-0.61146097","-0.22810440","-0.04719110","-0.15761897","-0.26166519","-0.15761897"," 0.01748734","-0.22810440","-0.04719110"," 0.38853903","-0.40053814","-0.40053814","-0.26166519","-0.15761897"," 0.38853903"," 0.38853903","-0.38366105"," 0.15925836"," 0.38853903"," 0.38853903","-0.33143264"," 0.38853903","-0.11027155","-0.28536018"," 0.15925836"," 0.15925836","-0.04719110"," 0.38853903","-0.19467289","-0.15761897","-0.28536018","-0.49239714","-0.04719110"," 0.01748734","-0.34908986","-0.19467289","-0.04719110"," 0.01748734","-0.38366105"," 0.38853903"," 0.38853903","-0.19467289","-0.36742901","-0.11027155","-0.22810440","-0.34908986","-0.46739447","-0.36742901","-0.36742901"," 0.15925836"," 0.38853903"," 0.38853903","-0.11027155"," 0.01748734","-0.31365378","-0.40053814"," 0.38853903"," 0.38853903"," 0.15925836","-0.11027155"," 0.15925836","-0.04719110"," 0.15925836"," 0.01748734"," 0.15925836","-0.04719110"," 0.01748734"," 0.15925836"," 0.15925836"," 0.15925836"," 0.38853903"," 0.15925836"," 0.01748734"," 0.15925836"," 0.38853903","-0.33143264","-0.22810440"," 0.38853903"," 0.01748734"," 0.01748734"," 0.38853903"," 0.01748734"," 0.38853903","-0.15761897"," 0.01748734"," 0.15925836"," 0.38853903"," 0.15925836","-0.31365378"," 0.38853903"," 0.38853903","-0.04719110"," 0.38853903","-0.15761897"," 0.38853903"," 0.15925836","-0.33143264","-0.04719110","-0.15761897"," 0.15925836","-0.15761897","-0.11027155"," 0.15925836"," 0.01748734","-0.04719110"," 0.15925836","-0.15761897","-0.38366105","-0.04719110"
"P49327","-0.099738501"," 0.007698274","-0.093773212"," 0.024781826","-0.168695068","-0.168695068"," 0.170876784","-0.087215034","-0.164035708","-0.071950208","-0.007715186","-0.140742867","-0.099738501"," 0.170876784","-0.118038859"," 0.170876784"," 0.105513854","-0.007715186","-0.191412506"," 0.105513854","-0.047157364"," 0.170876784"," 0.276585668","-0.079433922","-0.099738501","-0.023188243","-0.118038859"," 0.024781826","-0.172664307","-0.055354234","-0.063495019"," 0.007698274","-0.007715186","-0.047157364"," 0.170876784","-0.079433922"," 0.105513854"," 0.276585668"," 0.024781826"," 0.024781826"," 0.075694130","-0.047157364","-0.063495019","-0.135452081"," 0.170876784","-0.118038859"," 0.170876784"," 0.276585668"," 0.024781826"," 0.046611155"," 0.276585668"," 0.075694130","-0.055354234"," 0.170876784","-0.241012173","-0.023188243","-0.099738501","-0.055354234"," 0.075694130"," 0.758987827"," 0.024781826","-0.172664307","-0.034112717","-0.194362132"," 0.024781826","-0.079433922"," 0.105513854","-0.172664307"," 0.170876784"," 0.105513854","-0.135452081","-0.063495019","-0.112567775","-0.187969787"," 0.024781826","-0.023188243","-0.034112717"," 0.276585668"," 0.105513854","-0.140742867"," 0.105513854","-0.118038859","-0.071950208","-0.007715186"," 0.007698274"," 0.105513854"," 0.024781826","-0.149033296","-0.229953416"," 0.046611155"," 0.024781826","-0.176396028","-0.063495019","-0.124726244"," 0.024781826","-0.118038859","-0.023188243"," 0.007698274","-0.112567775"," 0.007698274","-0.055354234"," 0.046611155","-0.105887036"," 0.170876784"," 0.024781826"," 0.170876784","-0.023188243","-0.079433922","-0.071950208"," 0.105513854"," 0.276585668","-0.007715186"," 0.170876784","-0.180405687"
"H0YCU0"," 0.097351969"," 0.045472819","-0.143093361","-0.125077495"," 0.045472819","-0.008555424"," 0.097351969","-0.125077495","-0.104655283","-0.211865672","-0.049001351","-0.036431181","-0.049001351"," 0.045472819"," 0.162712760","-0.266162482","-0.205597612"," 0.027123309"," 0.261649844"," 0.162712760"," 0.261649844","-0.172764681","-0.036431181"," 0.261649844"," 0.371437984"," 0.371437984"," 0.371437984"," 0.027123309","-0.022229255"," 0.162712760"," 0.027123309"," 0.126046695"," 0.261649844","-0.049001351","-0.022229255"," 0.162712760"," 0.045472819","-0.330287317","-0.133207087","-0.628562016","-0.049001351"," 0.097351969","-0.049001351","-0.022229255","-0.073086622"," 0.097351969"," 0.027123309","-0.361837422","-0.104655283","-0.104655283","-0.429584578","-0.218600574","-0.125077495","-0.049001351"," 0.126046695"," 0.211562555"," 0.126046695"," 0.371437984"," 0.162712760","-0.225410675"," 0.371437984"," 0.071462445"," 0.097351969","-0.022229255"," 0.097351969"," 0.097351969","-0.344730785"," 0.027123309"," 0.027123309"," 0.045472819"," 0.045472819"," 0.162712760"," 0.045472819"," 0.126046695","-0.093433848","-0.181039308","-0.191104415","-0.151980134","-0.113844898","-0.083106338","-0.231305766","-0.073086622"," 0.126046695","-0.022229255","-0.036431181","-0.165905317","-0.049001351"," 0.371437984","-0.159530263","-0.062071049","-0.073086622"," 0.071462445","-0.083106338"," 0.097351969"," 0.211562555","-0.008555424","-0.113844898"," 0.005212611"," 0.371437984"," 0.261649844","-0.049001351","-0.104655283"," 0.261649844","-0.036431181"," 0.005212611","-0.036431181","-0.049001351"," 0.126046695","-0.113844898","-0.113844898"," 0.162712760","-0.332957679","-0.225410675","-0.049001351"
"P01009"," 0.0388594860","-0.0317838126","-0.1178321826","-0.0836650732","-0.1686132513"," 0.0145048891","-0.2418419026","-0.0317838126","-0.1393540128","-0.1756993730","-0.1178321826","-0.0602835270","-0.1303176537"," 0.0881441686"," 0.2995448924","-0.1925213947","-0.1076175665"," 0.6189391524"," 0.1169213851"," 0.0881441686"," 0.2438709140","-0.0007988197"," 0.2438709140"," 0.1488166942"," 0.2438709140"," 0.0388594860"," 0.1895724585","-0.0159978171"," 0.2438709140"," 0.1488166942"," 0.1488166942"," 0.0145048891","-0.0007988197"," 0.1488166942","-0.1076175665","-0.0007988197"," 0.0881441686","-0.1686132513"," 0.0388594860","-0.0007988197","-0.1178321826","-0.0159978171"," 0.1488166942","-0.1602209876"," 0.0388594860","-0.0317838126"," 0.0592556831","-0.3810608476","-0.1393540128","-0.2037091545","-0.3613845987","-0.0725277669","-0.0457560468"," 0.0592556831"," 0.0881441686"," 0.1895724585"," 0.4215786989"," 0.2438709140"," 0.1169213851","-0.1303176537","-0.0725277669"," 0.1895724585"," 0.0881441686"," 0.0881441686","-0.1178321826","-0.0602835270","-0.0725277669"," 0.0592556831","-0.0951445030","-0.1076175665","-0.1178321826","-0.2603291518"," 0.0881441686"," 0.2438709140","-0.0007988197","-0.1833238239","-0.1393540128","-0.2706664034"," 0.0592556831"," 0.1169213851","-0.3718798032"," 0.0592556831"," 0.2995448924"," 0.0388594860"," 0.2438709140"," 0.0881441686","-0.0007988197"," 0.1895724585"," 0.1895724585","-0.0159978171"," 0.1895724585"," 0.1895724585","-0.0317838126"," 0.2995448924"," 0.0881441686"," 0.0592556831","-0.0457560468"," 0.2438709140"," 0.0592556831"," 0.2438709140"," 0.1895724585","-0.3051105011","-0.0836650732","-0.3613845987","-0.0836650732","-0.2198189095","-0.2267861029","-0.1503429918","-0.0951445030","-0.1833238239","-0.2418419026","-0.1602209876","-0.3779262911","-0.1686132513"
"P01011","-0.103272441","-0.021780373"," 0.174493467","-0.245332099"," 0.007353913"," 0.645807121","-0.021780373"," 0.071214410"," 0.174493467"," 0.174493467"," 0.071214410","-0.118389834"," 0.174493467"," 0.174493467","-0.118389834","-0.233242346","-0.050194846","-0.222322623"," 0.174493467"," 0.071214410"," 0.071214410"," 0.174493467","-0.141808000","-0.021780373","-0.141808000","-0.071522406","-0.157770118"," 0.645807121"," 0.174493467"," 0.174493467"," 0.174493467"," 0.007353913","-0.021780373","-0.021780373","-0.199187712"," 0.174493467"," 0.174493467"," 0.071214410"," 0.174493467","-0.050194846"," 0.007353913","-0.173342649","-0.199187712","-0.088213275","-0.193180507"," 0.071214410","-0.141808000","-0.071522406"," 0.174493467"," 0.174493467","-0.103272441"," 0.007353913","-0.021780373"," 0.007353913"," 0.174493467"," 0.071214410","-0.222322623","-0.141808000","-0.103272441","-0.021780373","-0.088213275","-0.166030956"," 0.071214410"," 0.174493467"," 0.174493467","-0.021780373"," 0.071214410","-0.149816457","-0.088213275","-0.199187712"," 0.645807121"," 0.071214410","-0.129063199","-0.050194846"," 0.007353913","-0.050194846","-0.021780373","-0.354192879","-0.245332099","-0.173342649","-0.021780373","-0.071522406","-0.050194846"," 0.071214410","-0.245332099"," 0.071214410","-0.118389834","-0.141808000"," 0.007353913"," 0.071214410","-0.021780373"," 0.071214410"," 0.174493467","-0.071522406"," 0.071214410"," 0.071214410"," 0.071214410","-0.071522406","-0.129063199","-0.050194846","-0.103272441","-0.071522406","-0.088213275","-0.173342649"," 0.174493467","-0.187352336"," 0.174493467","-0.311596074"," 0.071214410"," 0.174493467","-0.149816457"," 0.071214410"," 0.007353913"," 0.071214410"
